Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
52,Arcanine,Normal,59,,2667,165,15,8,14,82.2,33.0,33.0,,,,"2026-07-02 18:22",9/28/2023,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,Milotic,,350,,1906,147,5,7,10,48.9,24.0,24.0,,,,"2026-07-02 18:22",9/29/2023,,,0,0,0,3500,,,,,,,,,55.53%,1822,96.29%,79000,70,Milotic,,0,,,,,,,,,
54,Breloom,,286,♀,2335,127,12,13,14,86.7,33.5,33.5,,,,"2026-07-02 18:22",10/2/2023,,,0,0,0,7000,,,,,,,,,80.85%,785,97.10%,71000,88,Breloom,,0,,,,,,,,,
55,Bellossom,,182,♂,1623,133,10,9,15,75.6,26.0,26.0,,,,"2026-07-02 18:22",,,,0,0,0,4000,,,,,,,,,93.06%,285,97.56%,436000,214,Bellossom,,0,,,,,,,,,
56,Chandelure,,609,♂,3018,130,7,7,12,57.8,38.5,38.5,,,,"2026-07-02 18:22",10/20/2023,,,0,0,0,9000,,,,,,,,,,,,,,,,,,,,,,,,,
57,Gengar,Normal,94,♀,1206,86,13,12,13,84.4,15.0,15.0,,,,"2026-07-02 18:22",10/27/2023,,,0,0,0,1900,73.02%,1106,95.98%,14200,14,Gengar,Normal,0,57.95%,1723,95.97%,118400,106,Gengar,Normal,0,,,,,,,,,
58,Pumpkaboo,Large,710,♀,933,108,9,15,9,73.3,28.0,28.0,,,,"2026-07-02 18:22",10/30/2023,,,0,0,0,4500,89.99%,411,91.96%,419000,198,Pumpkaboo,Large,0,77.90%,906,97.28%,233000,398,Gourgeist,Large,0,,,,,,,,,
59,Arcanine,Hisui,59,♀,1789,136,15,15,13,95.6,20.0,20.0,,,,"2026-07-02 18:22",,,,0,0,0,0,,,,,,,,,23.05%,3152,95.03%,51500,46,Arcanine,Hisui,0,,,,,,,,,
60,Pikachu,Normal,25,,733,85,11,10,6,60.0,30.0,30.0,,,,"2026-07-02 18:22",10/31/2023,,,0,0,0,5000,72.36%,1133,86.32%,400000,182,Pikachu,Normal,0,70.26%,1219,90.43%,400000,232,Raichu,Normal,0,,,,,,,,,
61,Spiritomb,,442,♂,875,78,13,15,14,93.3,15.0,15.0,,,,"2026-07-02 18:22",,,,0,0,0,1900,55.31%,1831,95.15%,56400,51,Spiritomb,,0,99.49%,22,98.13%,496400,268,Spiritomb,,0,,,,,,,,,
62,Sableye,Normal,302,♂,620,78,13,14,14,91.1,15.0,15.0,,,,"2026-07-02 18:22",11/1/2023,,,0,0,0,1900,76.68%,956,94.91%,299400,268,Sableye,Normal,0,99.19%,34,97.29%,496400,268,Sableye,Normal,0,,,,,,,,,
63,Glaceon,,471,♂,3166,143,11,11,15,82.2,43.0,43.0,,,,"2026-07-02 18:22",11/4/2023,,,0,0,0,12000,,,,,,,,,,,,,,,,,,,,,,,,,
64,Clodsire,,980,,1009,166,10,14,9,73.3,19.0,19.0,,,,"2026-07-02 18:22",11/5/2023,,,0,0,0,2500,50.96%,2009,94.69%,61000,54,Clodsire,,0,90.79%,378,93.94%,480000,252,Clodsire,,0,,,,,,,,,
65,Sableye,Normal,302,♂,993,98,10,11,11,71.1,25.0,25.0,,,,"2026-07-02 18:22",11/7/2023,,,0,0,0,4000,80.66%,793,95.22%,332000,220,Sableye,Normal,0,88.11%,488,92.00%,444000,220,Sableye,Normal,0,,,,,,,,,
66,Raichu,Alola,26,♀,965,86,13,15,13,91.1,15.0,15.0,,,,"2026-07-02 18:22",11/12/2023,,,0,0,0,1900,49.08%,2086,95.01%,38400,36,Raichu,Alola,0,97.95%,85,98.45%,452400,268,Raichu,Alola,0,,,,,,,,,
67,Gengar,Normal,94,♀,1343,92,14,13,15,93.3,16.5,16.5,,,,"2026-07-02 18:22",11/14/2023,,,0,0,0,1900,36.83%,2588,94.31%,6300,6,Gengar,Normal,0,62.32%,1544,96.13%,100700,88,Gengar,Normal,0,,,,,,,,,
68,Lanturn,,171,♀,206,71,9,13,10,71.1,4.0,4.0,,,,"2026-07-02 18:22",11/15/2023,,,0,0,0,400,80.56%,797,96.44%,86400,88,Lanturn,,0,87.84%,499,93.40%,518400,298,Lanturn,,0,18.75%,3328,89.56%,5600,9,Lanturn,,0,
69,Furfrou,,676,♀,1443,126,12,11,9,71.1,25.0,25.0,,,,"2026-07-02 18:22",11/15/2023,,,0,0,0,4000,17.88%,3364,93.24%,4000,3,Furfrou,,0,87.52%,512,93.23%,444000,220,Furfrou,,0,,,,,,,,,
70,Lunatone,,337,,1249,129,14,13,15,93.3,19.0,19.0,,,,"2026-07-02 18:22",12/5/2023,,,0,0,0,2500,35.24%,2653,93.86%,19000,17,Lunatone,,0,90.74%,380,97.26%,381000,252,Lunatone,,0,,,,,,,,,
71,Froslass,,478,♀,1670,131,14,8,8,66.7,30.0,30.0,,,,"2026-07-02 18:22",,,,0,0,0,5000,,,,,,,,,81.78%,747,91.60%,400000,182,Froslass,,0,,,,,,,,,
72,Furfrou,,676,♀,887,101,13,12,15,88.9,15.0,15.0,,,,"2026-07-02 18:22",12/11/2023,,,0,0,0,1900,29.28%,2897,93.89%,52400,48,Furfrou,,0,98.88%,47,97.25%,496400,268,Furfrou,,0,,,,,,,,,
73,Chesnaught,,652,♂,2030,139,6,14,1,46.7,26.0,26.0,,,,"2026-07-02 18:22",,,,0,0,0,4000,,,,,,,,,62.88%,1521,96.54%,84000,80,Chesnaught,,0,,,,,,,,,
74,Hariyama,,297,♂,1185,161,14,12,11,82.2,15.0,15.0,,,,"2026-07-02 18:22",,,,0,0,0,1900,9.08%,3724,92.51%,14200,14,Hariyama,,0,38.05%,2538,95.34%,130400,118,Hariyama,,0,,,,,,,,,
75,Chimecho,,358,♂,955,100,14,14,13,91.1,15.0,15.0,,,,"2026-07-02 18:22",12/16/2023,,,0,0,0,1900,69.18%,1263,95.70%,41900,39,Chimecho,,0,98.83%,49,98.65%,466400,268,Chimecho,,0,,,,,,,,,
76,Meloetta,Aria,648,,1648,121,12,10,10,71.1,15.0,15.0,,,,"2026-07-02 18:21",12/16/2023,,,0,0,0,1900,,,,,,,,,31.92%,2789,94.82%,35400,33,Meloetta,Aria,0,,,,,,,,,
77,Slowbro,Galar,80,♂,1669,151,9,13,11,73.3,25.0,25.0,,,,"2026-07-02 18:21",12/16/2023,,,0,0,0,4000,,,,,,,,,73.82%,1073,96.77%,306000,220,Slowbro,Galar,0,,,,,,,,,
78,Charizard,Normal,6,♂,2493,148,10,10,12,71.1,33.0,33.0,,,,"2026-07-02 18:21",,,,0,0,0,0,,,,,,,,,63.83%,1482,96.38%,0,0,Charizard,Normal,0,,,,,,,,,
79,Pikachu,Normal,25,♂,392,64,14,13,13,88.9,15.0,15.0,,,,"2026-07-02 18:21",12/19/2023,,,0,0,0,1900,16.43%,3423,92.71%,45400,92,Raichu,Normal,0,99.00%,42,97.63%,496400,318,Raichu,Normal,0,59.17%,1673,92.63%,16400,16,Pikachu,Normal,0,
80,Bronzong,,437,,1908,132,15,10,14,86.7,30.5,30.5,,,,"2026-07-02 18:21",,,,0,0,0,5000,,,,,,,,,99.32%,29,98.93%,395000,178,Bronzong,,0,,,,,,,,,
81,Furfrou,,676,♂,895,100,14,15,13,93.3,15.0,15.0,,,,"2026-07-02 18:21",1/1/2024,,,0,0,0,1900,57.14%,1756,95.27%,52400,48,Furfrou,,0,99.76%,11,98.83%,496400,268,Furfrou,,0,,,,,,,,,
82,Decidueye,Normal,724,♂,2013,139,0,7,12,42.2,28.0,28.0,,,,"2026-07-02 18:21",1/6/2024,,,0,0,0,4500,,,,,,,,,95.60%,181,98.50%,159000,183,Decidueye,Normal,0,,,,,,,,,
83,Medicham,Normal,308,♂,1121,117,15,12,11,84.4,28.0,28.0,,,,"2026-07-02 18:21",,,,0,0,0,4500,78.10%,898,95.45%,294000,198,Medicham,Normal,0,97.90%,87,96.13%,419000,198,Medicham,Normal,0,,,,,,,,,
84,Garbodor,,569,♂,2140,156,15,9,15,86.7,35.0,35.0,,,,"2026-07-02 18:21",2/13/2024,,,0,0,0,0,,,,,,,,,79.51%,840,96.41%,239000,118,Garbodor,,0,,,,,,,,,
85,Skitty,,300,♀,637,113,14,12,15,91.1,32.0,32.0,,,,"2026-07-02 18:21",7/12/7074,,,0,0,0,6000,66.23%,1384,94.34%,159000,212,Delcatty,,0,99.19%,34,97.22%,378000,212,Delcatty,,0,,,,,,,,,
86,Rockruff,,744,♂,530,82,15,14,10,86.7,20.0,20.0,,,,"2026-07-02 18:21",7/15/7074,,,0,0,0,2500,98.27%,72,94.80%,475000,248,Rockruff,,0,48.18%,2123,95.77%,145000,190,Lycanroc,Dusk,0,,,,,,,,,
87,Mew,,151,,1381,123,15,10,14,86.7,15.0,15.0,,,,"2026-07-02 18:21",2/15/2024,,,0,0,0,1900,21.78%,3204,93.54%,3800,4,Mew,,0,35.85%,2628,95.23%,68400,62,Mew,,0,,,,,,,,,
88,Furfrou,,676,♂,880,99,12,15,11,84.4,15.0,15.0,,,,"2026-07-02 18:21",2/21/2024,,,0,0,0,1900,72.94%,1109,96.08%,56400,51,Furfrou,,0,97.61%,99,96.53%,496400,268,Furfrou,,0,,,,,,,,,
89,Rotom,Normal,479,,854,76,15,13,11,86.7,15.0,15.0,,,,"2026-07-02 18:21",,,,0,0,0,1900,21.29%,3224,93.27%,60400,54,Rotom,Normal,0,98.00%,83,96.52%,496400,268,Rotom,Normal,0,,,,,,,,,
90,Empoleon,,395,♂,1214,107,13,14,10,82.2,15.0,15.0,,,,"2026-07-02 18:21",,,,0,1,0,2280,73.24%,1097,95.58%,17040,21,Empoleon,,1,46.96%,2173,95.89%,134880,134,Empoleon,,1,,,,,,,,,
91,Dialga,Origin,483,,2291,129,12,15,11,84.4,20.0,20.0,,,,"2026-07-02 18:21",,,,0,0,0,2500,,,,,,,,,39.46%,2480,95.14%,8000,7,Dialga,Origin,0,,,,,,,,,
92,Roserade,,407,♂,218,36,13,13,15,91.1,3.0,3.0,,,,"2026-07-02 18:21",2/24/2024,,,0,0,0,400,45.71%,2224,95.03%,32600,42,Roserade,,0,45.25%,2243,96.04%,114200,114,Roserade,,0,60.95%,1600,91.91%,2800,6,Roserade,,0,
93,Cherubi,,420,,411,75,1,12,5,40.0,18.0,18.0,,,,"2026-07-02 18:21",2/25/2024,,,0,0,0,2200,88.91%,455,97.14%,69900,112,Cherrim,,0,30.74%,2837,85.58%,484400,306,Cherrim,,0,82.44%,720,94.66%,17400,15,Cherubi,,0,
94,Pikachu,Normal,25,♂,668,82,11,11,8,66.7,27.0,27.0,,,,"2026-07-02 18:21",,,,0,0,0,4500,80.76%,789,88.03%,428000,206,Pikachu,Normal,0,79.24%,851,91.67%,428000,256,Raichu,Normal,0,,,,,,,,,
95,Pikachu,Normal,25,♀,12,11,12,13,9,75.6,1.0,1.0,,,,"2026-07-02 18:21",2/25/2024,,,0,0,0,200,75.56%,1002,95.64%,76000,134,Raichu,Normal,0,91.01%,369,93.94%,520000,354,Raichu,Normal,0,34.99%,2663,90.96%,42500,54,Pikachu,Normal,0,
96,Nidorino,,33,♂,222,54,13,11,13,82.2,6.0,6.0,,,,"2026-07-02 18:21",2/4/9074,,,0,0,0,600,92.01%,328,96.90%,472400,294,Nidorino,,0,32.14%,2780,95.12%,256400,379,Nidoking,,0,80.51%,799,94.56%,13600,18,Nidorino,,0,
97,Dodrio,,85,♂,1003,86,15,14,13,93.3,15.0,15.0,,,,"2026-07-02 18:21",3/6/2024,,,0,0,0,1900,30.70%,2839,93.90%,32400,30,Dodrio,,0,74.92%,1028,95.74%,358400,268,Dodrio,,0,,,,,,,,,
98,Sirfetch’d,,865,♂,1679,102,13,13,14,88.9,20.0,20.0,,,,"2026-07-02 18:21",3/9/2024,,,0,0,0,2500,,,,,,,,,40.71%,2429,95.50%,70000,62,Sirfetch’d,,0,,,,,,,,,
99,Litleo,,667,♀,1110,122,11,15,15,91.1,28.0,28.0,,,,"2026-07-02 18:21",2/10/7094,,,0,0,0,4500,95.56%,183,97.20%,307000,198,Litleo,,0,75.85%,990,97.01%,67000,114,Pyroar,,0,,,,,,,,,
100,Shiinotic,,756,♂,797,87,15,15,15,100.0,15.0,15.0,,,,"2026-07-02 18:21",,,,0,0,0,1900,46.40%,2196,94.92%,77400,70,Shiinotic,,0,100.00%,1,100%,496400,268,Shiinotic,,0,,,,,,,,,
101,Bronzor,,436,,169,72,9,15,15,86.7,11.0,11.0,,,,"2026-07-02 18:20",3/11/2024,,,0,0,0,1300,76.85%,949,96.34%,57000,108,Bronzong,,0,97.36%,109,97.70%,508000,334,Bronzong,,0,56.83%,1769,90.28%,163000,158,Bronzor,,0,
102,Woobat,,527,♂,760,122,12,15,13,88.9,27.0,27.0,,,,"2026-07-02 18:20",2/19/7074,,,0,0,0,4500,73.92%,1069,96.60%,56000,100,Swoobat,,0,99.22%,33,97.65%,428000,256,Swoobat,,0,,,,,,,,,
103,Slowking,Normal,199,♂,916,111,14,5,15,75.6,13.0,13.0,,,,"2026-07-02 18:20",3/14/2024,,,0,1,0,1921,19.95%,3279,93.23%,39364,48,Slowking,Normal,1,25.59%,3048,94.73%,327364,360,Slowking,Normal,1,,,,,,,,,
104,Qwilfish,Normal,211,♀,867,92,15,11,15,91.1,15.0,15.0,,,,"2026-07-02 18:20",3/14/2024,,,0,0,0,1900,26.79%,2999,93.92%,56400,51,Qwilfish,Normal,0,99.12%,37,97.39%,496400,268,Qwilfish,Normal,0,,,,,,,,,
105,Celebi,,251,,1378,123,13,13,14,88.9,15.0,15.0,,,,"2026-07-02 18:20",3/14/2024,,,0,0,0,1900,29.55%,2886,93.98%,3800,4,Celebi,,0,46.89%,2176,95.67%,68400,62,Celebi,,0,,,,,,,,,
106,Tentacool,,72,,356,63,8,13,12,73.3,13.0,13.0,,,,"2026-07-02 18:20",2/15/7074,,,0,1,0,1921,52.45%,1948,95.12%,50164,110,Tentacruel,,1,90.16%,404,97.20%,278400,258,Tentacruel,,2,59.10%,1676,92.46%,22084,30,Tentacool,,1,
